,PMCID,PMID,Publisher,Journal,Title,Cost(£),Article_or_Book,TP_notes,Extracted_date,PMC_Title,PMC_DOI,PMC_isOpenAccess,PMC_Journal,PMC_Pub_Year,PMC_Pub_Type,PMC_Citation_Count,Notes,PMC_Journal_ISSN
279,PMC3404183,22833604,BMJ Publishing Group,BMJ,"Use of risk assessment instruments to predict violence & antisocial behavior in 73 samples involving 24,827 people; systematic review and meta-analysis",3000.0,Article,,23/03/2014,Use of risk assessment instruments to predict violence and antisocial behaviour in 73 samples involving 24 827 people: systematic review and meta-analysis.,10.1136/bmj.e4692,Y,BMJ,2012,"journal article, meta-analysis, review, research support, non-u.s. gov't",6,,0959-8138
280,PMC3934788,22315246,BMJ Publishing Group Ltd,BMJ,Pragmatic randomised trials using routine electronic health records: putting them to the test.,3000.0,Article,,23/03/2014,Pragmatic randomised trials using routine electronic health records: putting them to the test.,10.1136/bmj.e55,Y,BMJ,2012,"journal article, research support, non-u.s. gov't",13,,0959-8138
281,PMC3957319,21056961,BMJ Publishing Group Ltd,BMJ,Translating genomics into improved healthcare.,3000.0,Article,,23/03/2014,Translating genomics into improved healthcare.,10.1136/bmj.c5945,N,BMJ,2010,"journal article, review, research support, non-u.s. gov't",5,,0959-8138
282,PMC3957318,22246267,BMJ Publishing Group Ltd,BMJ,Could NICE guidance on the choice of blood pressure lowering drugs be simplified? ,3000.0,Article,,23/03/2014,Could NICE guidance on the choice of blood pressure lowering drugs be simplified?,10.1136/bmj.d8078,Y,BMJ,2012,"journal article, research support, non-u.s. gov't",0,,0959-8138
283,PMC3957365,22654067,BMJ Publishing Group Ltd,BMJ,Improving vascular health: are pills the answer?,3000.0,Article,,23/03/2014,Improving vascular health: are pills the answer?,10.1136/bmj.e3802,Y,BMJ,2012,editorial,1,,0959-8138
284,PMC3533021,23135542,BMJ,BMJ Open,Weekend Admission as an Independent Predictor of Mortality: An analysis of Scottish Hospital Admissions,1500.0,Article,,23/03/2014,Weekend admissions as an independent predictor of mortality: an analysis of Scottish hospital admissions.,10.1136/bmjopen-2012-001789,Y,BMJ Open,2012,journal article,0,,2044-6055
285,PMC3657677,23793674,BMJ,BMJ Open,Development of an economic evaluation of diagnostic strategies: the case of monogenic diabetes,1620.0,Article,,23/03/2014,Development of an economic evaluation of diagnostic strategies: the case of monogenic diabetes.,10.1136/bmjopen-2013-002905,Y,BMJ Open,2013,journal article,0,,2044-6055
286,PMC3731707,23883889,BMJ,BMJ Open,The Small Eye Phenotype in the EPIC-Norfolk Eye Study: Prevalence and Visual Impairment in Microphthalmos and Nanophthalmos,1652.4,Article,,23/03/2014,The small eye phenotype in the EPIC-Norfolk eye study: prevalence and visual impairment in microphthalmos and nanophthalmos.,10.1136/bmjopen-2013-003280,Y,BMJ Open,2013,journal article,0,,2044-6055
287,PMC3752053,23965931,BMJ,BMJ Open,How active are our children? Findings from the Millennium Cohort Study,1652.4,Article,,23/03/2014,How active are our children? Findings from the Millennium Cohort Study.,10.1136/bmjopen-2013-002893,Y,BMJ Open,2013,journal article,0,,2044-6055
288,PMC3612744,23457328,BMJ Group,BMJ Open,Predictors of non-response in a uk-wide cohort study of children's accelerometer-determined physical activity using postal methods,1500.0,Article,,23/03/2014,Predictors of non-response in a UK-wide cohort study of children's accelerometer-determined physical activity using postal methods.,10.1136/bmjopen-2012-002290,Y,BMJ Open,2013,journal article,0,,2044-6055
289,PMC3752057,23950205,BMJ Group,BMJ OPEN,A qualitative study comparing experiences of the surgical safety checklist in hospitals in high- and low-income countries,1620.0,Article,,23/03/2014,A qualitative study comparing experiences of the surgical safety checklist in hospitals in high-income and low-income countries.,10.1136/bmjopen-2013-003039,Y,BMJ Open,2013,journal article,0,,2044-6055
290,PMC3612817 ,23516272,BMJ Publishing Group,BMJ Open,"The EPIC-Norfolk Eye Study: rationale, methods and a cross-sectional analysis of visual impairment in a population-based cohort",1620.0,Article,,23/03/2014,"The EPIC-Norfolk Eye Study: rationale, methods and a cross-sectional analysis of visual impairment in a population-based cohort.",10.1136/bmjopen-2013-002684,Y,BMJ Open,2013,journal article,0,,2044-6055
291,PMC3752052,23943776,BMJ Publishing Group,BMJ open,Cost-effectiveness of HCV case-finding for people who inject drugs via dried blood spot testing in specialist addiction services and prisons,1680.0,Article,,23/03/2014,Cost-effectiveness of HCV case-finding for people who inject drugs via dried blood spot testing in specialist addiction services and prisons.,10.1136/bmjopen-2013-003153,Y,BMJ Open,2013,journal article,0,,2044-6055
292,PMC3703578,23833121,British Medical Journal,BMJ open,Psychosocial and Educational Outcomes of Weight Faltering in Infancy in ALSPAC,1275.0,Article,,23/03/2014,Psychosocial and educational outcomes of weight faltering in infancy in ALSPAC.,10.1136/bmjopen-2013-002863,Y,BMJ Open,2013,journal article,0,,2044-6055
293,PMC3913222,24019507,BMJ Group,BMJ QUALITY AND SAFETY,Culture and behaviour in the English National Health Service: overview of lessons from a large multi-method study,1950.0,Article,,23/03/2014,Culture and behaviour in the English National Health Service: overview of lessons from a large multimethod study.,10.1136/bmjqs-2013-001947,Y,BMJ Qual Saf,2014,"journal article, research support, non-u.s. gov't",0,Details matched on article title,2044-5415
294,PMC3685541 ,23586691,Biomed Central,BMS Genomics,The significance of alternative transcripts for Caenerhabditis elegans transcription factor genes based on expression pattern analysis,1608.0,Article,,23/03/2014,"The significance of alternative transcripts for Caenorhabditis elegans transcription factor genes, based on expression pattern analysis.",10.1186/1471-2164-14-249,Y,BMC Genomics,2013,"journal article, research support, non-u.s. gov't",1,,1471-2164
295,PMC3526774,23103330,Elsevier,Bone,The High Bone Mass phenotype is characterised by a combined cortical and trabecular bone phenotype: findings from a pQCT case-control study,2295.39,Article,,23/03/2014,The high bone mass phenotype is characterised by a combined cortical and trabecular bone phenotype: findings from a pQCT case-control study.,10.1016/j.bone.2012.10.021,Y,Bone,2013,"journal article, multicenter study, research support, non-u.s. gov't",2,,8756-3282
296,PMC1330032,3607215,Elsevier,Bone,Male mice housed in groups engage in frequent fighting and show a lower response to additional bone loading than females or individually housed males that do not fight,2328.43,Article,,23/03/2014,Acanthamoeba profilin binding to fluorescein-labeled actins.,10.1016/s0006-3495(87)83426-4,N,Biophys J,1987,"journal article, research support, u.s. gov't, non-p.h.s., research support, u.s. gov't, p.h.s.",1,,0006-3495
297,PMC3590448,23352925,Elsevier,Bone,Therapeutic Impact of Low Amplitude High Frequency Whole Body Vibrations on the Osteogenesis Imperfecta Mouse Bone,2451.81,Article,,23/03/2014,Therapeutic impact of low amplitude high frequency whole body vibrations on the osteogenesis imperfecta mouse bone.,10.1016/j.bone.2013.01.023,Y,Bone,2013,"journal article, research support, non-u.s. gov't",1,,8756-3282
298,PMC3286332 ,22366792,OUP,Brain,Clinico-pathological features in amyotrophic lateral sclerosis with expansions in C9ORF72,2040.0,Article,,23/03/2014,Clinico-pathological features in amyotrophic lateral sclerosis with expansions in C9ORF72.,10.1093/brain/awr365,N,Brain,2012,"journal article, research support, non-u.s. gov't, research support, n.i.h., extramural, research support, n.i.h., intramural",50,,0006-8950
299,PMC3673458,23674488,OUP,Brain,A functional magnetic resonance imaging study mapping the episodic memory encoding network in temporal lobe epilepsy,2040.0,Article,,23/03/2014,A functional magnetic resonance imaging study mapping the episodic memory encoding network in temporal lobe epilepsy.,10.1093/brain/awt099,Y,Brain,2013,"journal article, research support, non-u.s. gov't",4,,0006-8950
300,PMC3673465,23715092,OUP,Brain,Memory reorganization following anterior temporal lobe resection: a longitudinal study,2040.0,Article,,23/03/2014,Memory reorganization following anterior temporal lobe resection: a longitudinal functional MRI study.,10.1093/brain/awt105,Y,Brain,2013,"journal article, research support, non-u.s. gov't, research support, n.i.h., extramural",1,,0006-8950
301,PMC3692041,23650221,OUP,Brain,Letter to the Editor Reply: Snesorineural hearing loss in OPA1-linked disorders,2040.0,Article,,23/03/2014,Reply: Sensorineural hearing loss in OPA1-linked disorders.,10.1093/brain/aws341,Y,Brain,2013,"comment, letter",0,,0006-8950
302,PMC3722354,23884814,OUP,Brain,Reading therapy strengthens top-down connectivity in patients with pure alexia,2400.0,Article,,23/03/2014,Reading therapy strengthens top-down connectivity in patients with pure alexia.,10.1093/brain/awt186,Y,Brain,2013,"journal article, research support, non-u.s. gov't",0,,0006-8950
303,PMC3754462,23935126,OUP,Brain,Nucleotide precursors prevent folic acid-resistant neural tube defects in the mouse,2400.0,Article,,23/03/2014,Nucleotide precursors prevent folic acid-resistant neural tube defects in the mouse.,10.1093/brain/awt209,Y,Brain,2013,"journal article, research support, non-u.s. gov't",0,,0006-8950
304,PMC3784283,24014518,OUP,Brain,"Epilepsy, hippocampal sclerosis and febrile seizures linked by common genetic variation around SCN1A",2400.0,Article,,23/03/2014,"Epilepsy, hippocampal sclerosis and febrile seizures linked by common genetic variation around SCN1A.",10.1093/brain/awt233,Y,Brain,2013,"journal article, meta-analysis, research support, non-u.s. gov't, research support, n.i.h., extramural",1,,0006-8950
305,PMC23983030,,OUP,Brain,The role of human ventral visual cortex in motion perception,2400.0,Article,,23/03/2014,,,,,,,,PMCID not found,
306,PMC23983031,,OUP,Brain,"Atypical basic movement kinematics in autism spectrum conditions
",2400.0,Article,,23/03/2014,,,,,,,,PMCID not found,
307,PMC3525058,23250883,Oxford Journals,Brain,Abnormal thalamocortical structural and functional connectivity in juvenile myoclonic epilepsy,2040.0,Article,,23/03/2014,Abnormal thalamocortical structural and functional connectivity in juvenile myoclonic epilepsy.,10.1093/brain/aws296,Y,Brain,2012,"journal article, research support, non-u.s. gov't",5,,0006-8950
308,PMC3692042,23801741,Oxford University Press,Brain,A Journal of Neurology,2000.0,Article,,23/03/2014,Axonal neuregulin 1 is a rate limiting but not essential factor for nerve remyelination.,10.1093/brain/awt148,Y,Brain,2013,"journal article, research support, non-u.s. gov't",1,,0006-8950
309,PMC3159156,21097490,Oxford University Press,Brain,"The primary visual cortex, and feedback to it, are not necessary for conscious vision",2040.0,Article,,23/03/2014,"The primary visual cortex, and feedback to it, are not necessary for conscious vision.",10.1093/brain/awq305,N,Brain,2011,"journal article, research support, non-u.s. gov't",9,,0006-8950
310,PMC3501977,23169917,Oxford University Press,Brain,"Autologous olfactory mucosal cell transplants in clinical spinal cord injury: a randomized, double-blinded trial in a canine translational model",2040.0,Article,,23/03/2014,Autologous olfactory mucosal cell transplants in clinical spinal cord injury: a randomized double-blinded trial in a canine translational model.,10.1093/brain/aws268,Y,Brain,2012,"journal article, randomized controlled trial, research support, non-u.s. gov't",7,,0006-8950
311,PMC3634199,23539189,Oxford University Press,Brain,MRI evidence for presymptomatic change in thalamus and caudate in familial Alzheimer's disease,2040.0,Article,,23/03/2014,Magnetic resonance imaging evidence for presymptomatic change in thalamus and caudate in familial Alzheimer's disease.,10.1093/brain/awt065,Y,Brain,2013,"journal article, research support, non-u.s. gov't",7,,0006-8950
312,PMC3549493,23207576,Elsevier,Brain and Cognition,An fMRI Investigation of Posttraumatic Flashbacks,2345.19,Article,,23/03/2014,An fMRI investigation of posttraumatic flashbacks.,10.1016/j.bandc.2012.10.002,Y,Brain Cogn,2013,"journal article, research support, non-u.s. gov't",4,,0278-2626
313,PMC3661989,23548838,Elsevier,Brain and Cognition,Exploring the role of space-defining objects in constructing and maintaining imagined scenes,2457.25,Article,,23/03/2014,Exploring the role of space-defining objects in constructing and maintaining imagined scenes.,10.1016/j.bandc.2013.02.013,Y,Brain Cogn,2013,"journal article, research support, non-u.s. gov't",0,,0278-2626
314,PMC3730055,23728081,Elsevier,Brain and Language,Dissociating frontal regions that co-lateralize with different ventral occipitotemporal regions during word processing,1456.18,Article,,23/03/2014,Dissociating frontal regions that co-lateralize with different ventral occipitotemporal regions during word processing.,10.1016/j.bandl.2013.04.003,Y,Brain Lang,2013,"journal article, research support, non-u.s. gov't",2,,0093-934x
315,PMC3639368,23473814,Elsevier,Brain and Language,Current themes in neuroimaging studies of Reading,2498.61,Article,,23/03/2014,Current themes in neuroimaging studies of reading.,10.1016/j.bandl.2013.02.002,Y,Brain Lang,2013,"editorial, introductory journal article",1,,0093-934x
316,PMC3525062,23250878,Oxford University Press,Brain Online,The Charcot-Marie-Tooth diseases: how can we identify and develop novel therapeutic targets?,1700.0,Article,,23/03/2014,The Charcot-Marie-Tooth diseases: how can we identify and develop novel therapeutic targets?,10.1093/brain/aws311,Y,Brain,2012,"comment, journal article, research support, non-u.s. gov't",0,,0006-8950
317,PMC3580272,23436503,Oxford University Press,Brain Online,The functional neuroimaging correlates of psychogenic versus organic dystonia,1700.0,Article,,23/03/2014,The functional neuroimaging correlates of psychogenic versus organic dystonia.,10.1093/brain/awt008,Y,Brain,2013,"journal article, research support, non-u.s. gov't",5,,0006-8950
318,PMC3170535,21840892,Oxford University Press,Brain Online,Magnetoencephalography of frontotemporal dementia: spationtemprally localized changes during semantic decisions,2040.0,Article,,23/03/2014,Magnetoencephalography of frontotemporal dementia: spatiotemporally localized changes during semantic decisions.,10.1093/brain/awr196,Y,Brain,2011,"journal article, research support, non-u.s. gov't",4,,0006-8950
319,PMC3381722,22637582,Oxford University Press,Brain Online,Social cognitive deficits and their neural correlates in progressive supranuclear palsy,2040.0,Article,,23/03/2014,Social cognitive deficits and their neural correlates in progressive supranuclear palsy.,10.1093/brain/aws128,Y,Brain,2012,"journal article, research support, non-u.s. gov't",8,,0006-8950
320,PMC22483961,,Elsevier,Brain Research,Fibronectin supports neurite outgrowth and axonal regeneration of adult brain neurons in vitro,2272.21,Article,,23/03/2014,,,,,,,,PMCID not found,
321,PMC3573228 ,23246923,Elsevier,Brain Research,Electrophysiological evidence for a neural substrate of morphological rule,2539.89,Article,,23/03/2014,Electrophysiological evidence for a neural substrate of morphological rule application in correct wordforms.,10.1016/j.brainres.2012.12.012,Y,Brain Res,2013,"journal article, research support, non-u.s. gov't",0,,0006-8993
322,PMC3637647,23129312,Springer,Brain Structure and Function,Predictions not commands: Active inference in the motor system,1639.06,Article,,23/03/2014,Predictions not commands: active inference in the motor system.,10.1007/s00429-012-0475-5,Y,Brain Struct Funct,2013,"journal article, review",6,,1863-2653
323,PMC3536945,22965826,Springer,Brain Topography ,"""A novel method for reducing the effect of tonic muscle activity on the gamma band of the scalp EEG"", DOI: 10.1007/s10548-012-0255-9 ",1889.9,Article,,23/03/2014,A novel method for reducing the effect of tonic muscle activity on the gamma band of the scalp EEG.,10.1007/s10548-012-0255-9,Y,Brain Topogr,2013,"journal article, research support, non-u.s. gov't",1,,0896-0267
324,PMC3838196,23878131,OUP,Briefings in Bioinformatics,Transcription factor interplay in T helper cell differentiation,2100.0,Article,,23/03/2014,Transcription factor interplay in T helper cell differentiation.,10.1093/bfgp/elt025,Y,Brief Funct Genomics,2013,"journal article, research support, non-u.s. gov't",2,,2041-2649
325,PMC22956639,,Oxford University Press,Briefings in Functional Genomics,Regulatory RNAs in the light of Drosophila genomics,2040.0,Article,,23/03/2014,,,,,,,,PMCID not found,
326,PMC3662891,23585580,Oxford University Press,Briefings in Functional Genomics,Epigenetic memory in the context of nuclear reprogramming and cancer,2100.0,Article,,23/03/2014,Epigenetic memory in the context of nuclear reprogramming and cancer.,10.1093/bfgp/elt011,Y,Brief Funct Genomics,2013,"journal article, review, research support, non-u.s. gov't",0,,2041-2649
327,PMC3834762,23822584,Wiley-Blackwell,British Jounal of Pharmacology,A single channel mutation alters agonist efficacy at  5-HT3A and 5-HT3AB receptors,2268.41,Article,,23/03/2014,A single channel mutation alters agonist efficacy at 5-HT3A and 5-HT3AB receptors.,10.1111/bph.12287,N,Br J Pharmacol,2013,"journal article, research support, non-u.s. gov't",0,,0007-1188
328,,,Cambridge University Press,British Journal for the History of Science,"Writing, printing, speaking: Rhesus blood-group genetics and nomenclatures in the mid-twentieth century",1695.0,Article,10.1017/S0007087413000332,23/03/2014,,,,,,,,Unable to match title to PMCID,
329,PMC3817338,24113143,Nature,British Journal of Cancer,The potential contribution of tumour related factors to the development of FOLFOX induced sinusc obstruction syndrome,2040.0,Article,,23/03/2014,The potential contribution of tumour-related factors to the development of FOLFOX-induced sinusoidal obstruction syndrome.,10.1038/bjc.2013.604,Y,Br J Cancer,2013,"journal article, research support, non-u.s. gov't",0,,0007-0920
330,PMC2490978,3493860,Nature,British Journal of Cancer,The FOXM1-PLK1 axis is commonly upregulated in oesophageal adenocarcinoma,2040.0,Article,,23/03/2014,ELISA tests for dapsone and pyrimethamine and their application in a malaria chemoprophylaxis programme.,,N,Bull World Health Organ,1986,"journal article, research support, non-u.s. gov't",6,,0042-9686
331,PMC3612708,23126226,Wiley,British Journal of Clinical Pharmacology,Human stem cell-derived astrocytes and their application to studying Nrf2-mediated neuroprotective pathways and therapeutics in neurodegeneration,2184.22,Article,,23/03/2014,Human stem cell-derived astrocytes and their application to studying Nrf2-mediated neuroprotective pathways and therapeutics in neurodegeneration.,10.1111/bcp.12022,Y,Br J Clin Pharmacol,2013,"journal article, review, research support, non-u.s. gov't",3,,0306-5251
332,PMC23701138,,Wiley-Blackwell,British journal of Clinical Pharmacology,Prolonged ketamine infusion as a therapy for Complex Regional Pain Syndrome: Synergism with antagonism?,2307.69,Article,,23/03/2014,,,,,,,,PMCID not found,
333,PMC3838625,23517330,Wiley,British Journal of Dermatology,Immunohistochemical and ultrastructural features of congenital melanocytic naevus cells support a stem cell phenotype,1954.74,Article,,23/03/2014,Immunohistochemical and ultrastructural features of congenital melanocytic naevus cells support a stem-cell phenotype.,10.1111/bjd.12323,Y,Br J Dermatol,2013,"journal article, research support, non-u.s. gov't",0,,0007-0963
334,PMC23927070,,Wiley Online Library,British Journal of Dermatology,Resolution of the plantar hyperkeratosis of pachyonychia congenita during chemotherapy for Ewing's sarcoma,1896.64,Article,,23/03/2014,,,,,,,,PMCID not found,
335,PMC3557659 ,21623767,Wiley,British Journal of Haematology,Malaria: modification of the red blood cell and consequences in the human host,1929.35,Article,,23/03/2014,Malaria: modification of the red blood cell and consequences in the human host.,10.1111/j.1365-2141.2011.08755.x,Y,Br J Haematol,2011,journal article,2,,0007-1048
336,PMC3632971,23264546,BMJ,British Journal of Ophthalmology,"Eyescores : An open platform for secure electronic data and photographic evidence  collection in ophthalmological field studies
",2040.0,Article,,23/03/2014,Eyescores: an open platform for secure electronic data and photographic evidence collection in ophthalmological field studies.,10.1136/bjophthalmol-2012-302653,Y,Br J Ophthalmol,2013,"letter, research support, non-u.s. gov't",0,,0007-1161
337,PMC3786664,23922266,BMJ,British Journal of Opthalmology,In vivo confocal microscopy and histopathology of the conjunctiva in trachomatous scarring and normal tissue: a systematic comparison,2340.0,Article,,23/03/2014,In vivo confocal microscopy and histopathology of the conjunctiva in trachomatous scarring and normal tissue: a systematic comparison.,10.1136/bjophthalmol-2013-303126,Y,Br J Ophthalmol,2013,"journal article, research support, non-u.s. gov't, comparative study",0,,0007-1161
338,PMC3596649 ,23121507,Wiley,British Journal of Pharmacology,Inhibition of endothelial cell calcium entry and transient receptor potential,1868.0,Article,,23/03/2014,Inhibition of endothelial cell Ca²⁺ entry and transient receptor potential channels by Sigma-1 receptor ligands.,10.1111/bph.12041,Y,Br J Pharmacol,2013,"journal article, research support, non-u.s. gov't",3,,0007-1188
339,PMC3594681,23072468,Wiley,British Journal of Pharmacology,On the selectivity of neuronal nitric oxide synthase inhibitors,1900.9,Article,,23/03/2014,On the selectivity of neuronal NOS inhibitors.,10.1111/bph.12016,Y,Br J Pharmacol,2013,"journal article, research support, non-u.s. gov't",1,,0007-1188
340,PMC3791986,23763262,Wiley,British Journal of Pharmacology,In pursuit of small molecule chemistry for calcium-permeable non-selective TRPC channels - mirage or pot of gold?,1952.24,Article,,23/03/2014,In pursuit of small molecule chemistry for calcium-permeable non-selective TRPC channels -- mirage or pot of gold?,10.1111/bph.12274,N,Br J Pharmacol,2013,"journal article, research support, non-u.s. gov't",0,,0007-1188
341,PMC3687655 ,23489111,Wiley-Blackwell,British Journal of Pharmacology,Discriminating between 5-HT3A and 5-HT3AB receptors,2345.58,Article,,23/03/2014,Discriminating between 5-HT(3)A and 5-HT(3)AB receptors.,10.1111/bph.12166,Y,Br J Pharmacol,2013,"journal article, research support, non-u.s. gov't",1,,0007-1188
342,PMC3724117,23638853,Wiley-Blackwell,British Journal of Pharmacology,Ca2+ signals evoked by histamine H1 receptors are attenuated by activation of prostaglandin EP2 and EP4 receptors in human aortic smooth muscle cells,2373.57,Article,,23/03/2014,Ca(2+) signals evoked by histamine H1 receptors are attenuated by activation of prostaglandin EP2 and EP4 receptors in human aortic smooth muscle cells.,10.1111/bph.12239,Y,Br J Pharmacol,2013,"journal article, research support, non-u.s. gov't",0,,0007-1188
343,PMC3730114 ,23703318,Royal College of Psychiatrists,British Journal of Psychiatry,A shared polygenic contribution between ADHD in childhood and adult schizophrena,3000.0,Article,,23/03/2014,Shared polygenic contribution between childhood attention-deficit hyperactivity disorder and adult schizophrenia.,10.1192/bjp.bp.112.117432,Y,Br J Psychiatry,2013,"journal article, research support, non-u.s. gov't",3,,0007-1250
344,PMC3766126,,The Royal College of Psychiatrists,British Journal of Psychiatry,Alcohol assessment and feedback by email for university students: main findings from randomised controlled trial,3000.0,Article,,23/03/2014,Alcohol assessment and feedback by e-mail for university students: main findings from the AMADEUS-1 randomised controlled trial.,,Y,Addict Sci Clin Pract,2013,abstract,0,,1940-0632
345,PMC3607278,,Cambridge University Press,British Journal of the History of Science,"Experimental physiology, Everest and oxygen: from the ghastly kitchens to the gasping lung",850.0,Article,,23/03/2014,"Experimental physiology, Everest and oxygen: from the ghastly kitchens to the gasping lung.",,Y,Br J Hist Sci,2012,journal article,0,,0007-0874
346,PMC3675899,23704099,OUP,British Medical Bulletin,Mitochondrial genetics,2100.0,Article,,23/03/2014,Mitochondrial genetics.,10.1093/bmb/ldt017,Y,Br Med Bull,2013,"journal article, review, research support, non-u.s. gov't",5,,0007-1420
347,PMC3489107,23038795,BMJ,British Medical Journal,Opiate substitution treatment and HIV transmission in people who inject drugs: a systematic review and meta-analysis,3000.0,Article,,23/03/2014,Opiate substitution treatment and HIV transmission in people who inject drugs: systematic review and meta-analysis.,10.1136/bmj.e5945,Y,BMJ,2012,"journal article, meta-analysis, review, research support, non-u.s. gov't",11,,0959-8138
348,PMC3530408,23137768,Oxford University Press,British Medical Journal,Management of trypanosomiasis and leishmaniasis,2040.0,Article,,23/03/2014,Management of trypanosomiasis and leishmaniasis.,10.1093/bmb/lds031,Y,Br Med Bull,2012,"journal article, review, research support, non-u.s. gov't",10,,0007-1420
349,PMC23137731,,Royal College of Psychiatrists,Britsh Journal of Psychiatry,Effective treatment of perinatal depression in a low-income country for women in debt and lacking financial empowerment,3000.0,Article,,23/03/2014,,,,,,,,PMCID not found,
350,PMC3853540,,Wiley ,Brt Jnl Clinical Pharmacology,The association between Parkinson's disease and anti-epilepsy drug carbamazepine: a case-control study using the UK General Practice Research Database,2009.65,Article,,23/03/2014,,,,,,,,PMCID not found,
351,PMC3477853,22506434,Johns Hopkins University Press,Bulletin of the History of Medicine,"Beasts, Murrains and the British RAJ: Reassessing Colonial Medicine in India from the Veterinary Perspective, 1860-1900",1880.66,Article,,23/03/2014,"Beasts, murrains, and the British Raj: reassessing colonial medicine in India from the veterinary perspective, 1860-1900.",,N,Bull Hist Med,2011,"historical article, journal article, research support, non-u.s. gov't",0,,0007-5140
352,PMC3215872,21964949,Springer,Calcified Tissue International,Influence of Polymorphisms in the RANKL/RANK/OPG Signaling Pathway on Volumetric Bone Mineral Density and Bone Geometry at the Forearm in Men,2002.76,Article,,23/03/2014,Influence of polymorphisms in the RANKL/RANK/OPG signaling pathway on volumetric bone mineral density and bone geometry at the forearm in men.,10.1007/s00223-011-9532-y,Y,Calcif Tissue Int,2011,"journal article, research support, non-u.s. gov't",2,,0171-967x
353,,,Taylor & Francis,Canadian Journal of African Studies,"Go back to the land! Negotiating space, framing governmentality in Lambwe Valley, Kenya 195475",2145.6,Article,10.1080/00083968.2011.10541065,23/03/2014,,,,,,,,Unable to match title to PMCID,
354,PMC3644682,23352643,Elsevier,Cancer Letters,Snail2 promotes osteosarcoma cell motility through remodelling of the actin cytoskeleton and regulates tumor development,2515.57,Article,,23/03/2014,Snail2 promotes osteosarcoma cell motility through remodelling of the actin cytoskeleton and regulates tumor development.,10.1016/j.canlet.2013.01.027,Y,Cancer Lett,2013,"journal article, research support, non-u.s. gov't",1,,0304-3835
355,PMC3491872 ,22962270,The Sheridan Press,Cancer Research,T cell trafficking facilitated by high endothelial venules is required for tumor control after regulatory T cell depletion,799.44,Article,,23/03/2014,T-cell trafficking facilitated by high endothelial venules is required for tumor control after regulatory T-cell depletion.,10.1158/0008-5472.can-12-1912,N,Cancer Res,2012,"journal article, research support, non-u.s. gov't",6,,0008-5472
356,PMC3797627,23892734,Oxford Journals,Cardiovascular Research,T brucei cathepsinL increases arrhythmogenic sarcoplasmic reticulum - mediated calcium release in rat cardiomyocytes,2040.0,Article,,23/03/2014,Trypanosoma brucei cathepsin-L increases arrhythmogenic sarcoplasmic reticulum-mediated calcium release in rat cardiomyocytes.,10.1093/cvr/cvt187,Y,Cardiovasc Res,2013,"journal article, research support, non-u.s. gov't",0,,0008-6363
357,PMC3714924,23334259,Oxford University Press,Cardiovascular Research,Flecainide Reduces Ca2+ Spark and Wave Frequency Via Inhibition of The Sarcolemmal Sodium Current,1020.0,Article,,23/03/2014,Flecainide reduces Ca(2+) spark and wave frequency via inhibition of the sarcolemmal sodium current.,10.1093/cvr/cvt012,Y,Cardiovasc Res,2013,"journal article, research support, non-u.s. gov't",4,,0008-6363
358,PMC3718323,23708740,Oxford University Press (OUP),Cardiovascular Research,Gap junctions support the sustained phase of hypoxic pulmonary vasoconstriction by facilitating calcium sensitization,2040.0,Article,,23/03/2014,Gap junctions support the sustained phase of hypoxic pulmonary vasoconstriction by facilitating calcium sensitization.,10.1093/cvr/cvt129,Y,Cardiovasc Res,2013,"journal article, research support, non-u.s. gov't",0,,0008-6363
359,PMC3464430,22738725,Elsevier,Cell,piRNAs can trigger a multigenerational epigeneitc memory in the gernline of C. elegans,533.58,Article,,23/03/2014,piRNAs can trigger a multigenerational epigenetic memory in the germline of C. elegans.,10.1016/j.cell.2012.06.018,Y,Cell,2012,"journal article, research support, non-u.s. gov't, research support, n.i.h., extramural",72,,0092-8674
360,PMC3732391,23890820,Elsevier,Cell,Genome sequencing reveals loci under artificial selection that underlie disease phenotypes in the laboratory rat,1366.08,Article,,23/03/2014,Genome sequencing reveals loci under artificial selection that underlie disease phenotypes in the laboratory rat.,10.1016/j.cell.2013.06.040,Y,Cell,2013,"journal article, research support, non-u.s. gov't, research support, n.i.h., extramural",2,,0092-8674
361,PMC3420011,22901802,Elsevier,Cell,"Small-molecule inhibition of BRDT for male contraception, Cell, Elsevier",3208.69,Article,,23/03/2014,Small-molecule inhibition of BRDT for male contraception.,10.1016/j.cell.2012.06.045,Y,Cell,2012,"journal article, research support, non-u.s. gov't, research support, n.i.h., extramural",25,,0092-8674
362,PMC3326523,22464331,Elsevier,Cell,Histone recognition and large-scale structural analysis of the human bromodomain family.,3948.42,Article,,23/03/2014,Histone recognition and large-scale structural analysis of the human bromodomain family.,10.1016/j.cell.2012.02.013,Y,Cell,2012,"journal article, research support, non-u.s. gov't",62,,0092-8674
363,PMC3650559,23622248,Elsevier,Cell,Mapping the human miRNA interactome by CLASH reveals frequent non-canonical binding,4163.88,Article,,23/03/2014,Mapping the human miRNA interactome by CLASH reveals frequent noncanonical binding.,10.1016/j.cell.2013.03.043,Y,Cell,2013,"evaluation studies, journal article, research support, non-u.s. gov't",29,,0092-8674
